date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:05	208/208	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Dec%202021%2020:12:28%20GMT	https://portal.unaab.edu.ng/Secure/CheckResult.aspx	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Secure/CheckResult.9.delayed	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:07	10139/10139	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2020:12:29%20GMT	https://portal.unaab.edu.ng/Login.aspx?redirecturl=https://portal.unaab.edu.ng/Secure/CheckResult.aspx	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Logind8bf.html	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:07	219/219	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Dec%202021%2020:12:29%20GMT	https://portal.unaab.edu.ng/Secure/CreateSchoolFeeInvoice.aspx	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Secure/CreateSchoolFeeInvoice.b.delayed	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:08	10150/10150	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2020:12:30%20GMT	https://portal.unaab.edu.ng/Login.aspx?redirecturl=https://portal.unaab.edu.ng/Secure/CreateSchoolFeeInvoice.aspx	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Logind404.html	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:09	548/548	---M--	200	added ('OK')	image/gif	etag:%225a939958687fd11:0%22	https://portal.unaab.edu.ng/images/new1.GIF	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/new1.gif	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:11	23063/23063	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2005%20Jan%202021%2001:27:55%20GMT	https://portal.unaab.edu.ng/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZBbqLwHovNJIbjSbqtXs5QVvgwDvKGdMr05nZnddWG-CbdsaVeGeFjUbveBDJXc3FA2&t=637454104754849868	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/WebResource09e8.js	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:13	93871/93871	---M-Z	200	added ('OK')	application/javascript	etag:%2205ad4d45b4ece1:0%22	https://portal.unaab.edu.ng/Scripts/jquery-1.7.1.min.js	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Scripts/jquery-1.7.1.min.js	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:14	26951/26951	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2005%20Jan%202021%2001:27:55%20GMT	https://portal.unaab.edu.ng/WebResource.axd?d=x2nkrMJGXkMELz33nwnakIEgwaEicfXJERaLlCm0DpVrRLuwVQFZd_mznYnhULCsstertVmF35vdIWt2yrCYA3UmKwDNvmnpMXYrJSa7QE81&t=637454104754849868	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/WebResourcee47c.js	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:16	9520/9520	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2020:12:38%20GMT	https://portal.unaab.edu.ng/ResetPassword.aspx	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/ResetPassword.html	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:17	7813/7813	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2020:12:40%20GMT	https://portal.unaab.edu.ng/Secure/checkBiodatastatus.aspx	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Secure/checkBiodatastatus.html	(from https://portal.unaab.edu.ng/Login.aspx)
